"Name","Type","objectTypeName","inheritedObjectTypeName","ActiveDirectoryRight","AccessControl","IdentityReferenceName","OwnerName","DistinguishedName","Owner","ActiveDirectoryRights","InheritanceType","ObjectType","InheritedObjectType","ObjectFlags","AccessControlType","IdentityReference","IsInherited","InheritanceFlags","PropagationFlags"
"sos.labs","Domain","Token-Groups","Group","ReadProperty","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty","Descendents","b7c69e6d-2cc7-11d2-854e-00a0c983f608","bf967a9c-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","Token-Groups","Computer","ReadProperty","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty","Descendents","b7c69e6d-2cc7-11d2-854e-00a0c983f608","bf967a86-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","Read-Only-Replication-Secret-Synchronization","All","ExtendedRight","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","1131f6ae-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","None","None"
"sos.labs","Domain","Private-Information","All","ReadProperty, WriteProperty, ExtendedRight","Allow","NT AUTHORITY\SELF","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty, WriteProperty, ExtendedRight","Descendents","91e647de-d96f-4b70-9557-d63ff4f3ccd8","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\SELF","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","ms-DS-Allowed-To-Act-On-Behalf-Of-Other-Identity","All","ReadProperty, WriteProperty","Allow","NT AUTHORITY\SELF","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty, WriteProperty","All","3f78c3e5-f79a-46bd-a0b8-9d18116ddc79","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\SELF","False","ContainerInherit","None"
"sos.labs","Domain","DS-Validated-Write-Computer","Computer","Self","Allow","NT AUTHORITY\SELF","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","Self","Descendents","9b026da6-0d3c-465c-8bee-5199d7165cba","bf967a86-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","NT AUTHORITY\SELF","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","ms-TPM-Tpm-Information-For-Computer","Computer","WriteProperty","Allow","NT AUTHORITY\SELF","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","WriteProperty","Descendents","ea1b7b93-5e48-46d5-bc6c-4df4fda78a35","bf967a86-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","NT AUTHORITY\SELF","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","ms-TPM-OwnerInformation","Computer","WriteProperty","Allow","NT AUTHORITY\SELF","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","WriteProperty","Descendents","aa4e1a6d-550d-4e05-8c35-4afcb917a9fe","bf967a86-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","NT AUTHORITY\SELF","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","Update-Password-Not-Required-Bit","All","ExtendedRight","Allow","NT AUTHORITY\Authenticated Users","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","280f369c-67c7-438e-ae98-1d46f3c6f541","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\Authenticated Users","False","None","None"
"sos.labs","Domain","Unexpire-Password","All","ExtendedRight","Allow","NT AUTHORITY\Authenticated Users","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","ccc2dc7d-a6ad-4a7a-8846-c04e3cc53501","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\Authenticated Users","False","None","None"
"sos.labs","Domain","Enable-Per-User-Reversibly-Encrypted-Password","All","ExtendedRight","Allow","NT AUTHORITY\Authenticated Users","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","05c74c5e-4deb-43b4-bd9f-86664c2a7fd5","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\Authenticated Users","False","None","None"
"sos.labs","Domain","DS-Replication-Get-Changes-In-Filtered-Set","All","ExtendedRight","Allow","BUILTIN\Administrators","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","89e95b76-444d-4c62-991a-0facbeda640c","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Administrators","False","None","None"
"sos.labs","Domain","DS-Replication-Get-Changes","All","ExtendedRight","Allow","BUILTIN\Administrators","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","1131f6aa-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Administrators","False","None","None"
"sos.labs","Domain","DS-Replication-Synchronize","All","ExtendedRight","Allow","BUILTIN\Administrators","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","1131f6ab-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Administrators","False","None","None"
"sos.labs","Domain","DS-Replication-Manage-Topology","All","ExtendedRight","Allow","BUILTIN\Administrators","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","1131f6ac-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Administrators","False","None","None"
"sos.labs","Domain","DS-Replication-Get-Changes-All","All","ExtendedRight","Allow","BUILTIN\Administrators","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","1131f6ad-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Administrators","False","None","None"
"sos.labs","Domain","Read-Only-Replication-Secret-Synchronization","All","ExtendedRight","Allow","BUILTIN\Administrators","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","1131f6ae-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Administrators","False","None","None"
"sos.labs","Domain","Membership","User","ReadProperty","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty","Descendents","bc0ac240-79a9-11d0-9020-00c04fc2d4cf","bf967aba-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","RAS-Information","inetOrgPerson","ReadProperty","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty","Descendents","037088f8-0ae1-11d2-b422-00a0c968f939","4828cc14-1437-45bc-9b07-ad6f015e5f28","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","User-Account-Restrictions","User","ReadProperty","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty","Descendents","4c164200-20c0-11d0-a768-00aa006e0529","bf967aba-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","RAS-Information","User","ReadProperty","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty","Descendents","037088f8-0ae1-11d2-b422-00a0c968f939","bf967aba-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","General-Information","User","ReadProperty","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty","Descendents","59ba2f42-79a2-11d0-9020-00c04fc2d3cf","bf967aba-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","User-Logon","inetOrgPerson","ReadProperty","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty","Descendents","5f202010-79a5-11d0-9020-00c04fc2d4cf","4828cc14-1437-45bc-9b07-ad6f015e5f28","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","User-Logon","User","ReadProperty","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty","Descendents","5f202010-79a5-11d0-9020-00c04fc2d4cf","bf967aba-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","All","User","GenericRead","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","GenericRead","Descendents","00000000-0000-0000-0000-000000000000","bf967aba-0de6-11d0-a285-00aa003049e2","InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","All","Group","GenericRead","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","GenericRead","Descendents","00000000-0000-0000-0000-000000000000","bf967a9c-0de6-11d0-a285-00aa003049e2","InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","General-Information","inetOrgPerson","ReadProperty","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty","Descendents","59ba2f42-79a2-11d0-9020-00c04fc2d3cf","4828cc14-1437-45bc-9b07-ad6f015e5f28","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","All","inetOrgPerson","GenericRead","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","GenericRead","Descendents","00000000-0000-0000-0000-000000000000","4828cc14-1437-45bc-9b07-ad6f015e5f28","InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","Membership","inetOrgPerson","ReadProperty","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty","Descendents","bc0ac240-79a9-11d0-9020-00c04fc2d4cf","4828cc14-1437-45bc-9b07-ad6f015e5f28","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","User-Account-Restrictions","inetOrgPerson","ReadProperty","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty","Descendents","4c164200-20c0-11d0-a768-00aa006e0529","4828cc14-1437-45bc-9b07-ad6f015e5f28","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","Create-Inbound-Forest-Trust","All","ExtendedRight","Allow","BUILTIN\Incoming Forest Trust Builders","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","e2a36dc9-ae17-47c3-b58b-be34c55ba633","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Incoming Forest Trust Builders","False","None","None"
"sos.labs","Domain","DS-Replication-Get-Changes","All","ExtendedRight","Allow","sos\Enterprise Read-only Domain Controllers","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","1131f6aa-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","sos\Enterprise Read-only Domain Controllers","False","None","None"
"sos.labs","Domain","DS-Replication-Get-Changes-All","All","ExtendedRight","Allow","sos\Domain Controllers","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","1131f6ad-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","sos\Domain Controllers","False","None","None"
"sos.labs","Domain","DS-Clone-Domain-Controller","All","ExtendedRight","Allow","sos\Cloneable Domain Controllers","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","3e0f7e18-2c7a-4c10-ba82-4d926db99a3e","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","sos\Cloneable Domain Controllers","False","None","None"
"sos.labs","Domain","ms-DS-Key-Credential-Link","All","ReadProperty, WriteProperty","Allow","sos\Key Admins","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty, WriteProperty","All","5b47d60f-6090-40b2-9f37-2a4de88f3063","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","sos\Key Admins","False","ContainerInherit","None"
"sos.labs","Domain","ms-DS-Key-Credential-Link","All","ReadProperty, WriteProperty","Allow","sos\Enterprise Key Admins","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty, WriteProperty","All","5b47d60f-6090-40b2-9f37-2a4de88f3063","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","sos\Enterprise Key Admins","False","ContainerInherit","None"
"sos.labs","Domain","DS-Replication-Get-Changes","All","ExtendedRight","Allow","sos\backdoor","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","1131f6aa-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","sos\backdoor","False","None","None"
"sos.labs","Domain","DS-Replication-Get-Changes-All","All","ExtendedRight","Allow","sos\backdoor","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","1131f6ad-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","sos\backdoor","False","None","None"
"Domain Controllers","OU","All","All","GenericRead","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","sos\Domain Admins","OU=Domain Controllers,DC=sos,DC=labs","sos\Domain Admins","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","None","None"
"Domain Controllers","OU","All","All","GenericRead","Allow","NT AUTHORITY\Authenticated Users","sos\Domain Admins","OU=Domain Controllers,DC=sos,DC=labs","sos\Domain Admins","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\Authenticated Users","False","None","None"
"Domain Controllers","OU","All","All","GenericAll","Allow","NT AUTHORITY\SYSTEM","sos\Domain Admins","OU=Domain Controllers,DC=sos,DC=labs","sos\Domain Admins","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\SYSTEM","False","None","None"
"Domain Controllers","OU","All","All","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","Allow","sos\Domain Admins","sos\Domain Admins","OU=Domain Controllers,DC=sos,DC=labs","sos\Domain Admins","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","sos\Domain Admins","False","None","None"
"Domain Controllers","OU","User-Account-Restrictions","inetOrgPerson","ReadProperty","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","sos\Domain Admins","OU=Domain Controllers,DC=sos,DC=labs","sos\Domain Admins","ReadProperty","Descendents","4c164200-20c0-11d0-a768-00aa006e0529","4828cc14-1437-45bc-9b07-ad6f015e5f28","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","True","ContainerInherit","InheritOnly"
"Domain Controllers","OU","User-Account-Restrictions","User","ReadProperty","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","sos\Domain Admins","OU=Domain Controllers,DC=sos,DC=labs","sos\Domain Admins","ReadProperty","Descendents","4c164200-20c0-11d0-a768-00aa006e0529","bf967aba-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","True","ContainerInherit","InheritOnly"
"Domain Controllers","OU","User-Logon","inetOrgPerson","ReadProperty","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","sos\Domain Admins","OU=Domain Controllers,DC=sos,DC=labs","sos\Domain Admins","ReadProperty","Descendents","5f202010-79a5-11d0-9020-00c04fc2d4cf","4828cc14-1437-45bc-9b07-ad6f015e5f28","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","True","ContainerInherit","InheritOnly"
"Domain Controllers","OU","User-Logon","User","ReadProperty","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","sos\Domain Admins","OU=Domain Controllers,DC=sos,DC=labs","sos\Domain Admins","ReadProperty","Descendents","5f202010-79a5-11d0-9020-00c04fc2d4cf","bf967aba-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","True","ContainerInherit","InheritOnly"
"Domain Controllers","OU","Membership","inetOrgPerson","ReadProperty","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","sos\Domain Admins","OU=Domain Controllers,DC=sos,DC=labs","sos\Domain Admins","ReadProperty","Descendents","bc0ac240-79a9-11d0-9020-00c04fc2d4cf","4828cc14-1437-45bc-9b07-ad6f015e5f28","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","True","ContainerInherit","InheritOnly"
"Domain Controllers","OU","Membership","User","ReadProperty","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","sos\Domain Admins","OU=Domain Controllers,DC=sos,DC=labs","sos\Domain Admins","ReadProperty","Descendents","bc0ac240-79a9-11d0-9020-00c04fc2d4cf","bf967aba-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","True","ContainerInherit","InheritOnly"
"Domain Controllers","OU","General-Information","inetOrgPerson","ReadProperty","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","sos\Domain Admins","OU=Domain Controllers,DC=sos,DC=labs","sos\Domain Admins","ReadProperty","Descendents","59ba2f42-79a2-11d0-9020-00c04fc2d3cf","4828cc14-1437-45bc-9b07-ad6f015e5f28","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","True","ContainerInherit","InheritOnly"
