Group,ManagedBy,whenCreated,whenChanged,Description,SID,DistinguishedName,CanonicalName
"Distributed COM Users","","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","Members are allowed to launch, activate and use Distributed COM objects on this machine.","S-1-5-32-562","CN=Distributed COM Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Distributed COM Users"
"IIS_IUSRS","","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","Built-in group used by Internet Information Services.","S-1-5-32-568","CN=IIS_IUSRS,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/IIS_IUSRS"
"Cryptographic Operators","","16/03/2018 5:21:13 PM","21/03/2018 4:47:52 PM","Members are authorized to perform cryptographic operations.","S-1-5-32-569","CN=Cryptographic Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Cryptographic Operators"
"Event Log Readers","","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","Members of this group can read event logs from local machine","S-1-5-32-573","CN=Event Log Readers,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Event Log Readers"
"Certificate Service DCOM Access","","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","Members of this group are allowed to connect to Certification Authorities in the enterprise","S-1-5-32-574","CN=Certificate Service DCOM Access,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Certificate Service DCOM Access"
"RDS Remote Access Servers","","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","Servers in this group enable users of RemoteApp programs and personal virtual desktops access to these resources. In Internet-facing deployments, these servers are typically deployed in an edge network. This group needs to be populated on servers running RD Connection Broker. RD Gateway servers and RD Web Access servers used in the deployment need to be in this group.","S-1-5-32-575","CN=RDS Remote Access Servers,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/RDS Remote Access Servers"
"RDS Endpoint Servers","","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","Servers in this group run virtual machines and host sessions where users RemoteApp programs and personal virtual desktops run. This group needs to be populated on servers running RD Connection Broker. RD Session Host servers and RD Virtualization Host servers used in the deployment need to be in this group.","S-1-5-32-576","CN=RDS Endpoint Servers,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/RDS Endpoint Servers"
"RDS Management Servers","","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","Servers in this group can perform routine administrative actions on servers running Remote Desktop Services. This group needs to be populated on all servers in a Remote Desktop Services deployment. The servers running the RDS Central Management service must be included in this group.","S-1-5-32-577","CN=RDS Management Servers,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/RDS Management Servers"
"Hyper-V Administrators","","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","Members of this group have complete and unrestricted access to all features of Hyper-V.","S-1-5-32-578","CN=Hyper-V Administrators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Hyper-V Administrators"
"Access Control Assistance Operators","","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","Members of this group can remotely query authorization attributes and permissions for resources on this computer.","S-1-5-32-579","CN=Access Control Assistance Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Access Control Assistance Operators"
"Remote Management Users","","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user.","S-1-5-32-580","CN=Remote Management Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Remote Management Users"
"System Managed Accounts Group","","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","Members of this group are managed by the system.","S-1-5-32-581","CN=System Managed Accounts Group,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/System Managed Accounts Group"
"Storage Replica Administrators","","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","Members of this group have complete and unrestricted access to all features of Storage Replica.","S-1-5-32-582","CN=Storage Replica Administrators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Storage Replica Administrators"
"Domain Computers","","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","All workstations and servers joined to the domain","S-1-5-21-2872888145-3513486857-3924934394-515","CN=Domain Computers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Domain Computers"
"Domain Controllers","","16/03/2018 5:22:29 PM","16/03/2018 5:37:40 PM","All domain controllers in the domain","S-1-5-21-2872888145-3513486857-3924934394-516","CN=Domain Controllers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Domain Controllers"
"Schema Admins","","16/03/2018 5:22:29 PM","21/03/2018 4:47:52 PM","Designated administrators of the schema","S-1-5-21-2872888145-3513486857-3924934394-518","CN=Schema Admins,CN=Users,DC=sos,DC=labs","sos.labs/Users/Schema Admins"
"Enterprise Admins","","16/03/2018 5:22:29 PM","21/03/2018 4:47:52 PM","Designated administrators of the enterprise","S-1-5-21-2872888145-3513486857-3924934394-519","CN=Enterprise Admins,CN=Users,DC=sos,DC=labs","sos.labs/Users/Enterprise Admins"
"Cert Publishers","","16/03/2018 5:22:29 PM","21/03/2018 4:47:52 PM","Members of this group are permitted to publish certificates to the directory","S-1-5-21-2872888145-3513486857-3924934394-517","CN=Cert Publishers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Cert Publishers"
"Domain Admins","","16/03/2018 5:22:29 PM","21/03/2018 4:47:58 PM","Designated administrators of the domain","S-1-5-21-2872888145-3513486857-3924934394-512","CN=Domain Admins,CN=Users,DC=sos,DC=labs","sos.labs/Users/Domain Admins"
"Domain Users","","16/03/2018 5:22:29 PM","21/03/2018 4:47:58 PM","All domain users","S-1-5-21-2872888145-3513486857-3924934394-513","CN=Domain Users,CN=Users,DC=sos,DC=labs","sos.labs/Users/Domain Users"
"Domain Guests","","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","All domain guests","S-1-5-21-2872888145-3513486857-3924934394-514","CN=Domain Guests,CN=Users,DC=sos,DC=labs","sos.labs/Users/Domain Guests"
"Group Policy Creator Owners","","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","Members in this group can modify group policy for the domain","S-1-5-21-2872888145-3513486857-3924934394-520","CN=Group Policy Creator Owners,CN=Users,DC=sos,DC=labs","sos.labs/Users/Group Policy Creator Owners"
"RAS and IAS Servers","","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","Servers in this group can access remote access properties of users","S-1-5-21-2872888145-3513486857-3924934394-553","CN=RAS and IAS Servers,CN=Users,DC=sos,DC=labs","sos.labs/Users/RAS and IAS Servers"
"Server Operators","","16/03/2018 5:22:29 PM","21/03/2018 4:47:52 PM","Members can administer domain servers","S-1-5-32-549","CN=Server Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Server Operators"
"Account Operators","","16/03/2018 5:22:29 PM","21/03/2018 4:47:52 PM","Members can administer domain user and group accounts","S-1-5-32-548","CN=Account Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Account Operators"
"Pre-Windows 2000 Compatible Access","","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","A backward compatibility group which allows read access on all users and groups in the domain","S-1-5-32-554","CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Pre-Windows 2000 Compatible Access"
"Incoming Forest Trust Builders","","16/03/2018 5:22:29 PM","21/03/2018 4:47:52 PM","Members of this group can create incoming, one-way trusts to this forest","S-1-5-32-557","CN=Incoming Forest Trust Builders,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Incoming Forest Trust Builders"
"Windows Authorization Access Group","","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","Members of this group have access to the computed tokenGroupsGlobalAndUniversal attribute on User objects","S-1-5-32-560","CN=Windows Authorization Access Group,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Windows Authorization Access Group"
"Terminal Server License Servers","","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage","S-1-5-32-561","CN=Terminal Server License Servers,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Terminal Server License Servers"
"Allowed RODC Password Replication Group","","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","Members in this group can have their passwords replicated to all read-only domain controllers in the domain","S-1-5-21-2872888145-3513486857-3924934394-571","CN=Allowed RODC Password Replication Group,CN=Users,DC=sos,DC=labs","sos.labs/Users/Allowed RODC Password Replication Group"
"Denied RODC Password Replication Group","","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","Members in this group cannot have their passwords replicated to any read-only domain controllers in the domain","S-1-5-21-2872888145-3513486857-3924934394-572","CN=Denied RODC Password Replication Group,CN=Users,DC=sos,DC=labs","sos.labs/Users/Denied RODC Password Replication Group"
"Read-only Domain Controllers","","16/03/2018 5:22:29 PM","16/03/2018 5:37:40 PM","Members of this group are Read-Only Domain Controllers in the domain","S-1-5-21-2872888145-3513486857-3924934394-521","CN=Read-only Domain Controllers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Read-only Domain Controllers"
"Enterprise Read-only Domain Controllers","","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","Members of this group are Read-Only Domain Controllers in the enterprise","S-1-5-21-2872888145-3513486857-3924934394-498","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Enterprise Read-only Domain Controllers"
"Cloneable Domain Controllers","","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","Members of this group that are domain controllers may be cloned.","S-1-5-21-2872888145-3513486857-3924934394-522","CN=Cloneable Domain Controllers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Cloneable Domain Controllers"
"Protected Users","","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","Members of this group are afforded additional protections against authentication security threats. See http://go.microsoft.com/fwlink/?LinkId=298939 for more information.","S-1-5-21-2872888145-3513486857-3924934394-525","CN=Protected Users,CN=Users,DC=sos,DC=labs","sos.labs/Users/Protected Users"
"Key Admins","","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","Members of this group can perform administrative actions on key objects within the domain.","S-1-5-21-2872888145-3513486857-3924934394-526","CN=Key Admins,CN=Users,DC=sos,DC=labs","sos.labs/Users/Key Admins"
"Enterprise Key Admins","","16/03/2018 5:22:29 PM","21/03/2018 4:47:52 PM","Members of this group can perform administrative actions on key objects within the forest.","S-1-5-21-2872888145-3513486857-3924934394-527","CN=Enterprise Key Admins,CN=Users,DC=sos,DC=labs","sos.labs/Users/Enterprise Key Admins"
"DnsAdmins","","16/03/2018 5:23:09 PM","21/03/2018 4:47:52 PM","DNS Administrators Group","S-1-5-21-2872888145-3513486857-3924934394-1101","CN=DnsAdmins,CN=Users,DC=sos,DC=labs","sos.labs/Users/DnsAdmins"
"DnsUpdateProxy","","16/03/2018 5:23:09 PM","16/03/2018 5:23:09 PM","DNS clients who are permitted to perform dynamic updates on behalf of some other clients (such as DHCP servers).","S-1-5-21-2872888145-3513486857-3924934394-1102","CN=DnsUpdateProxy,CN=Users,DC=sos,DC=labs","sos.labs/Users/DnsUpdateProxy"
"DHCP Users","","18/03/2018 5:15:31 PM","18/03/2018 5:15:31 PM","Members who have view-only access to the DHCP service","S-1-5-21-2872888145-3513486857-3924934394-1106","CN=DHCP Users,CN=Users,DC=sos,DC=labs","sos.labs/Users/DHCP Users"
"DHCP Administrators","","18/03/2018 5:15:31 PM","18/03/2018 5:15:31 PM","Members who have administrative access to the DHCP Service","S-1-5-21-2872888145-3513486857-3924934394-1107","CN=DHCP Administrators,CN=Users,DC=sos,DC=labs","sos.labs/Users/DHCP Administrators"
"Workstation Admins","","21/03/2018 4:37:54 PM","21/03/2018 4:38:18 PM","","S-1-5-21-2872888145-3513486857-3924934394-1119","CN=Workstation Admins,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/Workstation Admins"
